Account,Opportunity,Offering,Capability,Vehicle,State,ID,Status,Confidence,Amount,Probability,Weighted Amount,Close Date,Stage
Penrith City Council,CoPilot Agents Support,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~NSW,006RE00000IYThzYAH,Closed Lost,0.90
Middys,CoPilot PoC workshop,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~VIC,006RE00000U0YmpYAF,Closed Lost,0.90
eHealth NSW,CoPilot Deployment Phase 4,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~NSW,006RE00000TEYU9YAP,Closed Lost,0.93
eHealth NSW,M365 Copilot Rollout NSW Health,Copilot Scaled Rollout,Copilot,Committed Capacity,~NSW,006RE00000UYk8nYAD,Closed Lost,0.93
Ambrose Treacy,Copilot Readiness Assessment,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~QLD,006Mo00000kA1unIAC,Closed Lost,0.95
DPRID,Copilot Pilot Bronze,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~,006Mo00000iftSDIAY,Closed Lost,0.95
St Peters Lutheran,Pilot Deployment Copilot,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~QLD,006RE00000VO56QYAT,Closed Lost,0.95
VMIA,Copilot Readiness Assessment,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~VIC,006RE00000U3pBDYAZ,Closed Lost,0.95
TAFE QLD,CoPilot Enablement Consulting,Copilot Scaled Rollout,Copilot,Committed Capacity,~QLD,006RE00000VNjc9YAD,Closed Lost,0.93
Loreto College,Copilot Workshop,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~,006Mo00000idw1BIAQ,Closed Lost,0.92
JuiceIT BNE (McIlwain),Agentic AI Partnership,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~QLD,006RE00000VNkrWYAT,Closed Lost,0.85
The Guild Group,Guild Foundry Landing Zone,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~VIC,006Mo00000mQR4AIAW,Open,0.95
The Guild Group,Guild Copilot Studio Governance,AI Security & Risk Controls / Governance,AI Governance & Adoption,Standing Services,~VIC,006Mo00000lhNvyIAE,Open,0.80
Funds in Court / Supreme Court Vic,Agentic AI Workshop MEL,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~VIC,006RE00000T3UCBYA3,Open,0.88
Supreme Court Vic,Microsoft Agentic Sprint Workshop EOI,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~VIC,006RE00000LHH0LYAX,Open,0.90
Genesis,AI Envisioning,AI Envisioning / Use-Case Discovery,Business Advisory - Information & Analytics,Committed Capacity,~VIC,006Mo00000ibCbyIAE,Open,0.72
Genesis,Copilot End User Training,Copilot Scaled Rollout / Cowork Accelerate,Copilot,Committed Capacity,~VIC,006RE00000UNaJFYA1,Open,0.92
Genesis,Purview activation,Purview Foundation,Data Security (Security),Standing Services,~VIC,006Mo00000hkuXtIAI,Open,0.95
La Trobe University,Fabric-Foundry-AI implementation,Fabric Build + Foundry Landing Zone,Data Platform & Engineering + Generative & Agentic AI,Standing Services,~VIC,006RE00000Vekn6YAB,Open,0.80
servco,Copilot+Power Envisioning & PoC,AI Envisioning / Use-Case Discovery,Copilot,Committed Capacity,~,006Mo00000iFZ0wIAG,Open,0.72
O4O,Copilot AI adoption/implementation,Copilot Scaled Rollout,Copilot,Committed Capacity,~,006Mo00000kg7sDIAQ,Open,0.92
Finity,MS Copilot Assistance,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~NSW,006Mo00000kNREkIAO,Open,0.65
CES,AI Foundry landing zone,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~,006Mo00000k6yVFIAY,Open,0.95
Perth Airport,MS Foundry Agent Smith,Foundry Landing Zone (+ agents),Generative & Agentic AI,Standing Services,~WA,006Mo00000lxkjhIAA,Open,0.90
CEFC,Azure AI Landing Zone (Foundry),Foundry Landing Zone,Generative & Agentic AI,Standing Services,~NSW,006RE00000UByFjYAL,Open,0.93
Cenitex,EA Cloud Security Envisioning Workshop,AI Security & Risk Controls / Governance,Data Security (Security),Standing Services,~VIC,006RE00000LrNVSYA3,Open,0.60
MIGA,AI & Copilot Agents,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~SA,006Mo00000jfPa3IAE,Open,0.85
MIGA,Purview Credit Card Discovery,Purview Foundation,Data Security (Security),Standing Services,~SA,006Mo00000i6xQfIAI,Open,0.92
eHealth NSW / Syd Children's Hospital,CoPilot Studio Phase 1,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~NSW,006RE00000ReJyrYAF,Open,0.90
Discovery Holiday Parks,Copilot Cowork,Copilot Scaled Rollout / Cowork Accelerate,Copilot,Committed Capacity,~SA,006Mo00000mIwmfIAC,Open,0.90
Discovery Holiday Parks,Copilot Wave 2 Deployment,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~SA,006Mo00000l6bg9IAA,Open,0.95
Leichhardt,Copilot readiness,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~NSW,006Mo00000jPO8TIAW,Open,0.95
Energy Safe Victoria,AI Envisioning,AI Envisioning / Use-Case Discovery,Business Advisory - Information & Analytics,Committed Capacity,~VIC,006Mo00000lo3ipIAA,Open,0.72
Greatland,Copilot+Power Envisioning & PoC,AI Envisioning / Use-Case Discovery,Copilot,Committed Capacity,~WA,006RE00000UYXDIYA5,Open,0.72
City of Charles Sturt,Agent Governance Proposal,AI Security & Risk Controls / Governance,AI Governance & Adoption,Standing Services,~SA,,Open,0.80
Housing Australia,AI / Copilot readiness,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~ACT,006Mo00000jPybmIAC,Open,0.90
29Metals,Golden Grove Copilot Pilot,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~SA,006RE00000K1toXYAR,Open,0.94
29Metals,DLP & Copilot Governance & Policy,AI Security & Risk Controls / Governance,AI Governance & Adoption + Data Security,Standing Services,~SA,006RE00000V5FPZYA3,Open,0.85
STL,CoPilot Remediation and AI Adoption,Copilot Scaled Rollout,Copilot,Committed Capacity,~,006RE00000UzIZrYAN,Open,0.85
Essential Energy,CoPilot Agents Mgt & Governance,AI Security & Risk Controls / Governance,AI Governance & Adoption,Standing Services,~NSW,006RE000009rh3GYAQ,Open,0.78
NRW,Copilot readiness,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~WA,006RE00000VGVqnYAH,Open,0.95
NRW,Power Platform & Copilot Studio Governance,AI Security & Risk Controls / Governance,AI Governance & Adoption,Standing Services,~WA,006Mo00000jqaK1IAI,Open,0.75
NRW,M365 Copilot pilot service,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~WA,006Mo00000h7PddIAE,Open,0.94
Armidale Regional Council,Copilot Readiness Assessment,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~NSW,006Mo00000l0B8UIAU,Open,0.95
CRRDA,Data Security Envisioning Workshop,AI Security & Risk Controls / Governance,Data Security (Security),Standing Services,~,006RE00000LedeTYAR,Open,0.78
Hollard,Copilot Agent (MSFT Funded),Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~NSW,006RE00000U8YkoYAF,Open,0.88
Griffith University,Copilot Studio & Power Automate Training Ph3,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~QLD,006RE00000KUkI2YAL,Open,0.78
Curtin University,Copilot Studio Governance & Agent Prototype,Copilot Studio Agent Prototyping,Generative & Agentic AI + AI Governance & Adoption,Committed Capacity,~WA,006RE00000Nxr6JYAR,Open,0.80
Curtin University,Copilot Readiness (AWS connectivity),Copilot Readiness Assessment,Copilot,Entitled Drawdown,~WA,006RE00000Lo8azYAB,Open,0.85
VicGrid,AI Foundry on Azure Promo,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~VIC,006Mo00000iUlplIAC,Closed Lost,0.85
South Gippsland Water,Agent Envisioning / Governance,AI Envisioning + Governance,Generative & Agentic AI + AI Governance & Adoption,Committed Capacity / Standing Services,VIC,006Mo00000lBkCXIA0,Open,0.65
South Gippsland Water,Copilot Readiness Assessment,Copilot Readiness Assessment,Copilot,Entitled Drawdown,VIC,006RE00000VYg7pYAD,Closed Won,0.90
South Gippsland Water,Copilot Shield,Copilot Shield,AI Governance & Adoption,Standing Services,VIC,006Mo00000lBfsoIAC,Open,0.75
Nova,Copilot+Power Envisioning & PoC,AI Envisioning / Use-Case Discovery,Copilot,Committed Capacity,~,006Mo00000jmCL7IAM,Open,0.72
GMCT,AI Policy & Preparedness,AI Security & Risk Controls / Governance,AI Governance & Adoption,Standing Services,~VIC,,Open,0.90
Dexus,Co-Pilot MSFT Workshop,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~NSW,006RE00000R6lcdYAB,Open,0.85
Thomson Geer,Copilot,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~,006RE00000UV8hZYAT,Open,0.85
Cairns RC,Purview for Copilot services,Purview Foundation,Data Security (Security),Standing Services,~QLD,006RE00000UYOQ4YAP,Open,0.80
Gold Corp,AI Envisioning Workshop,AI Envisioning / Use-Case Discovery,Business Advisory - Information & Analytics,Committed Capacity,~,006Mo00000kEmThIAK,Open,0.75
MSP Group,Copilot Workshop,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~,006Mo00000kJegoIAC,Open,0.85
ASCA,EDT P2ISR (AI-governed architecture),AI Security & Risk Controls / Governance,AI Governance & Adoption,Standing Services,~,,Open,0.55
Rockhampton RC,Copilot Pilot GOLD,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~QLD,006Mo00000maxluIAA,Open,0.94
DTP,Copilot Rollout Expansion,Copilot Scaled Rollout,Copilot,Committed Capacity,~VIC,006Mo00000iTfG9IAK,Open,0.93
AISWA,Copilot User Enablement,Copilot Scaled Rollout,Copilot,Committed Capacity,~WA,006Mo00000k7XxdIAE,Open,0.92
NextEd,Elevate Funding Purview Discovery,Purview Foundation,Data Security (Security),Standing Services,~,006Mo00000hoISRIA2,Open,0.85
Bentleys SA/NT,Copilot RA,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~SA,006RE00000T3zkcYAB,Open,0.92
icare,Purview Info Protection Advisory,Purview Foundation,Data Security (Security),Standing Services,~NSW,006RE00000SaksDYAR,Open,0.75
Device Tech,Copilot Assessment,Copilot Readiness Assessment,Copilot,Entitled Drawdown,~,006RE00000R3WJyYAN,Open,0.90
RBF (Reserve Bank Fiji),Copilot,Copilot Readiness Assessment,Copilot,Entitled Drawdown,FIJI,006Mo00000mm7zdIAA,Open,0.85
"Essential Energy","Essential Energy / RFQ 1543 Digital Workplace FSA - Copilot Studio","Copilot Studio Agent Prototyping","Generative & Agentic AI","Committed Capacity","~NSW","006Mo00000kaShdIAE","Open","0.95","25000.0","0.3","7500.0","2027-01-31","04-Develop"
"Armidale Regional Council","M365 Copilot for Local Gov | Armidale Regional Council","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~NSW","006RE00000HIEQxYAP","Open","0.95","6000.0","0.3","1800.0","2026-09-28","04-Develop"
"Newcastle Port Corporation","Newcastle Port Auth - M365 Copilot readiness assessment & POC","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~NSW","006RE00000CcMBtYAN","Open","0.95","13099.5","0.2","2619.9","2026-12-31","03-Qualify"
"Transgrid","Transgrid / Copilot Services","Copilot Scaled Rollout / Cowork Accelerate","Copilot","Committed Capacity","~NSW","006RE000006754MYAQ","Open","0.95","5822.0","0.2","1164.4","2026-11-30","03-Qualify"
"Transgrid","Transgrid - Copilot+Power Envisioning & PoC","AI Envisioning / Use-Case Discovery","AI Governance & Adoption","Entitled Drawdown","~NSW","006RE00000NNM2cYAH","Open","0.95","1000.0","0.2","200.0","2026-09-27","03-Qualify"
"New South Wales Electoral Commission","New South Wales Electoral Commission - M365 Copilot Readiness Assessment","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~NSW","006RE00000FV2BNYA1","Open","0.95","","0.2","","2026-09-30","03-Qualify"
"New South Wales Electoral Commission","NSW EC - Microsoft Copilot Deployment Services","Copilot Scaled Rollout / Cowork Accelerate","Copilot","Committed Capacity","~NSW","006RE00000WGNshYAH","Open","0.95","17466.0","0.2","3493.2","2026-10-31","03-Qualify"
"TfNSW","TfNSW Copilot training","Copilot Scaled Rollout / Cowork Accelerate","Copilot","Committed Capacity","~NSW","006RE00000GlEUXYA3","Open","0.95","7500.0","0.1","750.0","2026-09-10","02-Discovery"
"Department of Transport and Planning","DTP - DFS health check recommendations and delivery - MSFT Funding","AI Envisioning / Use-Case Discovery","AI Governance & Adoption","Entitled Drawdown","~VIC","006RE00000E9qvNYAR","Open","0.95","12250.0","0.5","6125.0","2026-09-30","05-Proposal"
"Department of Transport and Planning","DTP - Dynamics AI Usage","AI Envisioning / Use-Case Discovery","AI Governance & Adoption","Entitled Drawdown","~VIC","006RE00000OhxdKYAR","Open","0.95","9695.0","0.5","4847.5","2026-10-31","05-Proposal"
"Department of Transport and Planning","M365 Copilot Readiness Assessment EOI | Department of Transport and Planning","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~VIC","006RE000002Ah49YAC","Open","0.95","","0.1","","2026-09-28","02-Discovery"
"Cenitex","Cenitex - M365 E7 Foundation - Dave H","Foundry Landing Zone","Generative & Agentic AI","Entitled Drawdown","~VIC","006Mo00000kD3VSIA0","Open","0.95","59691.0","0.5","29845.5","2026-10-31","05-Proposal"
"Shine Lawyers","Shine - Copilot/Studio Agents ( Discovery)","Copilot Studio Agent Prototyping","Generative & Agentic AI","Committed Capacity","~VIC","006RE00000JnOHZYA3","Open","0.95","7500.0","0.2","1500.0","2026-09-30","03-Qualify"
"Rockhampton Regional Council","Rockhampton RC - Pre-Pilot Copilot services","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~QLD","006Mo00000ngWVVIA2","Open","0.95","6000.0","0.2","1200.0","2026-10-30","03-Qualify"
"Cairns Regional Council","Cairns Regional Council Microsoft Copilot Offer","Copilot Scaled Rollout / Cowork Accelerate","Copilot","Committed Capacity","~QLD","006RE00000TmayBYAR","Open","0.95","21143.0","0.2","4228.6","2027-06-25","03-Qualify"
"Griffith University","GU New Staff Training M365","AI Envisioning / Use-Case Discovery","AI Governance & Adoption","Entitled Drawdown","~QLD","006Mo00000lzEW2IAM","Open","0.95","3360.0","0.3","1008.0","2026-11-30","04-Develop"
"James Cook University","JCU - Copilot Training","Copilot Scaled Rollout / Cowork Accelerate","Copilot","Committed Capacity","~QLD","006Mo00000mxhi1IAA","Open","0.95","18750.0","0.3","5625.0","2026-09-30","04-Develop"
"Racing Queensland","Racing Queensland - Copilot Readiness Assessment","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~QLD","006Mo00000hsOuDIAU","Open","0.95","100.0","0.1","10.0","2026-09-30","02-Discovery"
"Mercy Community Services Qld","Mercy CS Qld - Copilot Assessment","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~QLD","006RE00000PwuxtYAB","Open","0.95","5488.0","0.5","2744.0","2026-09-30","05-Proposal"
"Perth Airport","Perth Airport_ai agent development - Foundry","Copilot Studio Agent Prototyping","Generative & Agentic AI","Committed Capacity","~WA","006Mo00000mNpZFIA0","Open","0.95","2500.0","0.3","750.0","2026-10-16","04-Develop"
"Busselton Water Corporation","Busselton Water Corporation_ Copilot Tenancy set up","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~WA","006Mo00000j0rtdIAA","Open","0.95","880.0","0.5","440.0","2026-09-17","05-Proposal"
"City of Charles Sturt","City of Charles Sturt - Agent Governance Proposal","Copilot Studio Agent Prototyping","Generative & Agentic AI","Committed Capacity","~SA","006Mo00000jPaftIAC","Open","0.95","22607.0","0.5","11303.5","2026-09-30","05-Proposal"
"Corporation of the City of Marion","Corporation of the City of Marion - M365 Copilot Rollout (CSP Promo)","Copilot Scaled Rollout / Cowork Accelerate","Copilot","Committed Capacity","~SA","006RE00000RGnEyYAL","Open","0.95","25377.48","0.2","5075.5","2026-10-30","03-Qualify"
"City of Onkaparinga","City of Onkaparinga - M365 Copilot for Local Gov","Copilot Readiness Assessment","Copilot","Entitled Drawdown","~SA","006RE00000HVotCYAT","Open","0.95","6000.0","0.2","1200.0","2026-12-31","03-Qualify"
